,AREACD,AREANM,Adam,Albert,Albie,Alex,Alexander,Alfie,Archie,Arlo,Arthur,Benjamin,Blake,Bobby,Caleb,Carter,Charles,Charlie,Daniel,David,Dexter,Dominic,Dylan,Edward,Elijah,Elliot,Elliott,Ellis,Ethan,Ezra,Felix,Finley,Finn,Frankie,Freddie,Frederick,Gabriel,George,Grayson,Harley,Harrison,Harry,Harvey,Henry,Hugo,Hunter,Isaac,Jack,Jackson,Jacob,Jake,James,Jasper,Jaxon,Jayden,Jenson,Jesse,Joseph,Joshua,Jude,Kai,Leo,Leon,Liam,Logan,Louie,Louis,Luca,Lucas,Luke,Mason,Matthew,Max,Michael,Mohammad,Mohammed,Muhammad,Noah,Oliver,Ollie,Oscar,Ralph,Reggie,Reuben,Riley,Roman,Ronnie,Rory,Rowan,Ryan,Samuel,Sebastian,Sonny,Stanley,Teddy,Theo,Theodore,Thomas,Tobias,Toby,Tommy,William,Zachary,Total
0,E06000001,Hartlepool,,,,3,4,9,5,3,4,,3,6,,,,10,3,,,,,,,5,4,,4,,,,3,,7,,,11,,3,3,11,,6,3,6,9,12,,15,,5,,,,3,,7,5,,,5,,,5,,,,5,,8,4,3,,,,,10,10,,,,4,,,3,,6,,,,,,,,12,5,8,,,5,3,,531.0
1,E06000002,Middlesbrough,,3,5,3,,10,12,6,6,,,5,3,4,,14,5,7,4,,3,,,,3,,4,3,,4,,5,7,,,9,5,6,7,14,,9,7,4,16,9,,8,3,5,,5,4,7,,9,4,4,3,8,,,10,7,4,7,7,,4,,,3,,6,10,7,15,3,7,,4,5,,3,3,4,,4,4,10,3,,7,8,,11,,4,6,6,6,928.0
2,E06000003,Redcar and Cleveland,,,6,,4,10,13,4,3,,3,,7,3,,13,3,,,,,4,5,3,,5,5,,,6,,7,12,,,13,,5,3,13,6,11,,6,5,7,,12,,5,,6,,4,5,9,5,3,,3,,4,4,7,3,3,3,,3,,6,,,,,10,11,3,5,3,7,5,,3,,5,,,,3,3,,9,11,,10,,5,6,10,3,682.0
3,E06000004,Stockton-on-Tees,4,3,7,,3,22,12,4,14,3,4,3,5,3,,10,3,,,3,5,6,5,,,8,7,4,,6,3,10,16,,,25,3,,,17,3,14,5,9,12,21,3,18,,9,,4,3,3,7,9,8,5,,9,,,12,10,4,5,11,,5,,4,,,,6,18,26,3,15,,4,8,4,4,6,3,3,,4,8,,,9,14,5,14,3,4,6,17,4,1060.0
4,E06000005,Darlington,3,3,,,6,7,12,,10,3,3,,4,,,4,5,,,,,3,4,,,,5,,,5,,3,4,,,13,,,3,18,,5,6,,9,9,9,15,,10,,5,,,,5,,5,,4,,,5,,,,4,,,5,,,,,,13,11,,11,,3,3,,3,,,,,,,,,,5,5,9,,,,6,,573.0
5,E06000006,Halton,4,3,7,,7,10,11,,8,8,4,7,3,6,,8,,,,,4,3,10,3,,,4,5,,4,4,4,9,,,16,,,3,12,3,5,,,9,13,,14,6,13,,5,,,,10,6,5,4,10,,3,5,9,3,6,8,,8,,5,4,,,,15,18,,13,,5,7,,4,4,4,3,,,7,,,8,14,,13,,3,4,11,,753.0
6,E06000007,Warrington,8,3,4,3,8,19,14,5,16,7,,7,4,6,,9,8,5,4,,6,9,7,6,,3,9,6,,3,,3,13,,3,38,4,,5,25,3,18,6,8,17,21,4,12,,11,,8,,,3,9,10,8,,12,,6,8,3,7,6,15,9,6,,9,5,,5,,11,29,4,13,3,4,4,3,6,4,7,5,,6,8,4,,3,8,8,14,4,7,5,11,5,1141.0
7,E06000008,Blackburn with Darwen,12,,4,,4,,8,3,7,,,3,,3,,7,3,,3,,,,6,,,4,5,6,,,,,4,,,12,,4,,13,,3,,8,10,6,,7,,4,,7,,4,,5,3,,,4,,3,5,5,3,,3,,3,3,,,14,29,85,9,14,3,3,,,3,,,,3,,,6,,,5,,5,3,13,3,,4,5,4,1026.0
8,E06000009,Blackpool,5,,,,4,9,10,7,12,3,3,4,,5,,10,,3,,,,3,5,5,,,8,7,,7,,3,6,,3,10,3,,7,9,6,8,,8,5,18,,9,,7,,4,4,5,,,8,3,4,13,,3,10,5,3,4,10,,5,4,3,4,,,,11,15,,9,,5,7,11,8,4,,,3,7,4,,3,4,19,4,9,3,,4,9,,830.0
9,E06000010,"Kingston upon Hull, City of",4,7,7,6,11,19,19,9,17,,9,4,5,7,,14,9,8,6,3,5,3,7,5,,5,9,5,,12,,9,22,4,4,34,5,10,11,24,6,7,5,19,25,17,,16,9,4,3,9,7,8,5,7,3,10,3,27,,,22,7,,,17,4,4,,10,,,,5,20,47,7,16,,8,10,11,7,8,7,,3,7,6,8,9,14,11,5,12,,11,13,17,4,1698.0
