,AREACD,AREANM,Abigail,Ada,Aisha,Alice,Amber,Amelia,Amelie,Anna,Annabelle,Arabella,Aria,Aurora,Ava,Ayla,Beatrice,Bella,Bonnie,Charlotte,Chloe,Clara,Daisy,Darcie,Delilah,Edith,Eleanor,Eliza,Elizabeth,Ella,Ellie,Elsie,Emilia,Emily,Emma,Erin,Esme,Eva,Evelyn,Evie,Felicity,Florence,Francesca,Freya,Georgia,Grace,Gracie,Hallie,Hannah,Harper,Harriet,Heidi,Holly,Imogen,Iris,Isabella,Isabelle,Isla,Ivy,Jasmine,Jessica,Layla,Lilly,Lily,Lola,Lottie,Lucy,Luna,Lyla,Maisie,Margot,Maria,Martha,Maryam,Matilda,Maya,Mia,Mila,Millie,Molly,Nancy,Olivia,Orla,Penelope,Phoebe,Poppy,Robyn,Rose,Rosie,Ruby,Sara,Scarlett,Sienna,Sofia,Sophia,Sophie,Summer,Thea,Violet,Willow,Zara,Zoe,Total,
678,E06000001,Hartlepool,,,,3,3,12,,,,,,,7,,,,,5,,,3,,,,,6,,10,,6,,7,,,,5,,,,4,,4,3,4,5,4,,4,,4,,,,3,7,6,6,3,4,,,3,,,,,,3,,,,,,,,,4,,,16,,,6,6,,,6,4,,4,3,4,,,,,3,4,,,501,
679,E06000002,Middlesbrough,,3,,8,,12,3,,,,8,,7,,5,3,,5,,,3,5,,,3,6,4,9,4,8,,4,,4,3,,,3,,7,3,5,,6,,,,8,4,3,,,,,6,8,5,3,6,6,8,7,4,7,,3,,,,3,3,,,4,9,5,,,9,10,,3,6,9,,4,4,3,3,5,,6,4,3,,4,7,7,,,940,
680,E06000003,Redcar and Cleveland,,,,11,,9,3,3,,,,,9,,,3,,3,,,6,3,3,3,,3,,3,,11,,3,,4,,4,6,13,,5,,,,,,5,,3,7,4,3,,,4,4,7,6,,,5,,6,,3,,4,,3,,,,,7,,6,,,,4,14,,4,11,11,4,3,3,5,,4,,4,5,5,,,,12,,,684,
681,E06000004,Stockton-on-Tees,,6,,11,,10,5,3,5,3,8,,19,,,,,13,3,,9,,,,,4,5,7,4,3,4,11,,7,8,5,6,4,,9,4,7,5,11,6,5,,13,6,13,,3,5,6,7,11,8,,8,6,3,7,3,3,3,4,4,5,,,,,9,,12,,5,,5,20,4,5,11,10,,,8,9,,,5,4,5,6,,,4,9,,,1052,
682,E06000005,Darlington,,,,3,,13,,,,,5,,5,,,,,6,3,,,,,,6,4,,,,,,6,3,,,3,4,6,,3,3,4,,5,,,,5,3,,,,3,6,6,3,4,,5,,,4,3,,,,,,,,5,,,,4,,3,,3,9,,3,6,3,4,7,,3,,,4,,6,3,,3,8,,,,539,
683,E06000006,Halton,,,,10,,8,,,,,3,,11,,,4,,11,,,4,4,4,,4,3,,4,,4,5,11,3,,3,,4,6,,6,,,,5,3,6,,4,,5,5,,,7,6,11,4,,4,3,3,3,,3,3,4,,3,,,,,,3,7,3,3,,,5,,8,10,10,,,6,,,,6,5,4,4,,4,4,4,,,669,
684,E06000007,Warrington,,,,8,,17,,,,6,4,,9,,4,5,3,14,9,,8,3,,3,5,5,5,6,6,12,4,9,5,3,7,5,14,10,,7,4,6,,8,,,,3,6,8,5,5,3,13,5,12,7,4,9,,6,,5,,6,,3,3,,3,,,6,,5,,6,5,4,19,4,4,7,7,3,,9,13,,4,7,9,13,11,6,7,4,7,,,1033,
685,E06000008,Blackburn with Darwen,,,12,,,12,,,,,,,8,,,,,6,,,,,,,,5,,4,,3,6,4,,3,5,5,,6,,,,4,,3,,3,6,6,3,,,,,5,4,11,,4,6,,,8,,3,,,3,,,3,,14,,,3,3,,,,5,,,,,,4,3,3,,5,7,5,,3,,4,,,,,1007,
686,E06000009,Blackpool,,,,5,,10,3,,,,6,5,12,,,,,8,,,3,4,,,,,,3,,5,,8,3,,6,,,9,,,,3,,4,4,4,,10,4,,4,,,9,,,3,,3,6,,7,6,9,,9,,,,,,,4,,3,3,3,,,13,,4,5,10,,,,4,4,9,8,,8,,3,,4,6,,,787,
687,E06000010,"Kingston upon Hull, City of",,4,3,17,,17,,,3,4,,,19,,4,9,,6,3,6,14,4,8,3,4,10,6,17,4,14,3,17,,6,4,6,7,9,,10,3,6,,13,7,10,,16,4,,8,,,11,11,19,15,7,8,7,9,8,5,9,,12,3,9,,5,,,12,4,22,9,8,3,4,32,,10,24,15,4,3,12,,4,8,3,6,5,6,7,,4,12,,3,1602,
688,E06000011,East Riding of Yorkshire,3,7,,14,,19,3,,3,3,4,4,13,,3,8,5,17,6,,11,8,6,4,,6,4,13,6,10,4,18,5,3,7,5,17,12,5,13,3,4,6,17,,3,4,19,12,5,5,6,3,10,12,17,17,,11,8,6,15,,4,3,7,,4,,,4,,7,,12,3,6,6,,17,,10,12,14,8,9,9,8,,7,9,6,5,12,,7,7,8,4,,1273,
689,E06000012,North East Lincolnshire,,,,,,10,,,4,3,7,3,12,,,,3,6,,,,3,,3,,5,,8,,4,,6,3,3,,,7,6,,7,,9,3,3,,,,4,,,6,,,6,4,15,9,6,,5,5,8,,9,4,4,3,5,,,,,5,,9,3,,,,15,,,6,5,,6,7,4,,3,,4,5,5,6,,3,9,,,820,
690,E06000013,North Lincolnshire,,,,3,,15,,,,3,,3,6,,,4,,9,4,,5,4,,,3,4,,8,5,10,9,4,,4,8,,5,9,5,5,,8,4,4,3,3,,7,,,3,3,4,6,13,7,6,,6,,4,3,,5,3,,,,,6,3,,,,4,,3,4,,17,,,8,5,,,8,5,3,12,,,7,9,3,3,6,7,,,843,
691,E06000014,York,4,9,,8,3,6,,4,,,3,,12,,5,3,,11,,,14,,,5,5,3,6,9,7,13,,5,6,10,4,4,10,5,,7,3,,,5,3,,3,5,6,5,3,,5,10,6,14,8,3,9,4,5,7,4,,3,5,,4,3,,3,,6,3,10,,,,3,8,,8,6,7,3,,9,3,,,7,4,3,4,,5,3,5,,,867,
692,E06000015,Derby,6,5,6,6,3,21,5,4,3,,3,,7,,,,,13,4,,8,,,,,6,7,8,,8,8,7,,5,9,9,6,4,,3,,11,3,3,4,3,5,11,8,4,5,4,3,14,8,10,10,,4,7,,12,3,,,6,,3,,9,,4,10,8,11,4,3,,7,14,,4,6,10,5,3,7,9,,5,10,10,7,12,,,,15,,,1582,
