LAU118CD,girl_count,boy_count
E06000001,Olivia,Jacob
E06000002,Amelia,Isaac
E06000003,Olivia,Archie
E06000004,Olivia,Oliver
E06000005,Amelia,Harry
E06000006,Ava,Oliver
E06000007,Olivia,George
E06000008,Maryam,Muhammad
E06000009,Olivia,Theo
E06000010,Olivia,Oliver
E06000011,Amelia,George
E06000012,Isla,Arthur
E06000013,Olivia,Oliver
E06000014,Daisy,Arthur
E06000015,Amelia,Muhammad
E06000016,Amelia,Muhammad
E06000017,Charlotte,Arthur
E06000018,Amelia,Muhammad
E06000019,Olivia,William
E06000020,Olivia,Archie
E06000021,Olivia,Oliver
E06000022,Willow,Arthur
E06000023,Olivia,Arthur
E06000024,Olivia,Oliver
E06000025,Isla,Oliver
E06000026,Florence,Harry
E06000027,Willow,Archie
E06000030,Olivia,Oliver
E06000031,Olivia,Muhammad
E06000032,Amelia,Muhammad
E06000033,Isabella,Oliver
E06000034,Olivia,George
E06000035,Amelia,Oliver
E06000036,Ava,Jack
E06000037,Olivia,Oliver
E06000038,Sofia,Muhammad
E06000039,Amelia,Muhammad
E06000040,Olivia,William
E06000041,Isla,George
E06000042,Olivia,Oliver
E06000043,Olivia,Arthur
E06000044,Olivia,Arthur
E06000045,Amelia,Oliver
E06000046,Isla,George
E06000047,Olivia,Jack
E06000049,Amelia,Oliver
E06000050,Olivia,George
E06000051,Olivia,Arthur
E06000052,Olivia,Oscar
E06000054,Olivia,George
E06000055,Ava,Oliver
E06000056,Olivia,Arthur
E06000057,Olivia,Oliver
E06000058,Amelia,George
E06000059,Olivia,Oliver
E07000004,Olivia,Muhammad
E07000005,Ella,Oliver
E07000006,Amelia,Henry
E07000007,Olivia,Muhammad
E07000008,Olivia,Leo
E07000009,Amelia,Thomas
E07000010,Amelia,Jacob
E07000011,Olivia,George
E07000012,Amelia,Edward
E07000026,Ella,George
E07000027,Olivia,Harry
E07000028,Olivia,Harry
E07000029,Isla,Harry
E07000030,Amelia,Freddie
E07000031,Rosie,Harry
E07000032,Freya,Jack
E07000033,Willow,Harry
E07000034,Isla,Oliver
